food_name,energy_kcal,carb_g,protein_g,fat_g,fibre_g
Pali kora (Panna microdon),94.17,0,19.25,1.81,0
Pambada (Lepturacanthus savala),128.34,0,21.95,4.44,0
Pandukopa (Pseudosciaena manchurica),86.04,0,19.73,0.65,0
Parava (Lactarius lactarius),111.61,0,21.5,2.74,0
Parcus (Psettodes erumei),86.28,0,19.87,0.62,0
Parrot fish (Scarus ghobban),89.63,0,20.82,0.57,0
Perinkilichai (Pinjalo pinjalo),92.49,0,20.89,0.87,0
Phopat (Coryphaena hippurus),101.34,0,22.05,1.33,0
Piranha (Pygopritis sp.),131.21,0,20.46,5.43,0
"Pomfret, black (Parastromateus niger)",123.09,0,18.91,4.83,0
"Pomfret, snub nose (Trachinotus blochii)",89.63,0,21.05,0.46,0
"Pomfret, white (Pampus argenteus)",122.61,0,19.02,5.12,0
Pranel (Gerres sp.),96.8,0,19.69,1.89,0
Pulli paarai (Gnathanodon speciosus),95.36,0,20.06,1.55,0
Queen fish (Scomberoides commersonianus),95.6,0,20.97,1.17,0
Raai fish (Lobotes surinamensis),102.77,0,21.61,1.69,0
Raai vanthu (Epinephelus chlorostigma),97.99,0,19.39,2.17,0
Rani (Pink perch),90.1,0,18.83,1.49,0
"Ray fish, bow head, spotted (Rhina ancylostoma)",83.41,0,19.03,0.7,0
Red snapper (Lutjanus argentimaculatus),104.44,0,22.79,1.34,0
"Red snapper, small (Priacanthus hamrur)",107.79,0,21.5,2.3,0
Sadaya (Platax orbicularis ),110.42,0,20.68,2.97,0
Salmon (Salmo salar),172.32,0,20.97,9.86,0
Sangada (Nemipterus japanicus),105.88,0,20.26,2.67,0
Sankata paarai (Caranx ignobilis),103.73,0,21.87,1.68,0
Sardine (Sardinella longiceps),152.24,0,17.91,8.99,0
Shark (Carcharhinus sorrah),95.12,0,21.6,0.83,0
"Shark, hammer head (Sphyrna mokarran)",103.25,0,23.4,0.8,0
"Shark, spotted (Stegostoma fasciatum)",91.78,0,20.95,0.75,0
Shelavu (Sphyraena jello),106.59,0,22.46,1.74,0
Silan (Silonia silondia),151.29,0,22.72,6.68,0
Silk fish (Beryx sp.),97.51,0,20.65,1.53,0
Silver carp (Hypophthalmichthys molitrix),132.65,0,21.71,5.17,0
Sole fish (Cynoglossus arel),87.71,0,19.05,1.18,0
Stingray (Dasyatis pastinaca),97.51,0,23.98,0.68,0
Tarlava (Drepane punctata),98.95,0,21.72,1.2,0
Tholam (Plectorhinchus schotaf),103.25,0,20.78,2.13,0
Tilapia (Oreochromis niloticus),83.41,0,18.48,1.08,0
Tuna (Euthynnus affinis),112.33,0,24.5,1.44,0
"Tuna, striped (Katsuwonus pelamis)",96.32,0,21.28,1.12,0
Valava (Chirocentrus nudus),97.99,0,21.8,1.06,0
Vanjaram (Scomberomorus commerson ),136.23,0,22.28,5.18,0
Vela meen (Aprion virescens),128.34,0,22.16,4.34,0
Vora (Siganus javus),100.86,0,20.14,2.14,0
Whale shark (Galeocerdo cuvier),95.84,0,21.83,0.82,0
Xiphinis (Xiphias gladius),88.43,0,19.82,0.88,0
"Eggs, Cat fish (Ompok bimaculatus)",143.4,0,24.68,5.28,0
Air,89,3.5,15.9,1.3,0
Bacha,147,6.1,18.1,5.6,0
Bam,100,6.9,16.1,0.9,0
Baspata machli,112,0,18.2,4.4,0
"Bata, small varieties",89,2.2,14.3,2.5,0
Beley,75,2.9,14.5,0.6,0
Bhagon fresh,154,3.8,14.8,8.8,0
Bhagon dried,274,1.8,61.5,2.3,0
Bhangan bata,144,6.7,19.4,4.4,0
Bhekti fresh,79,3,14.9,0.8,0
Bhekti dried,266,1.8,60.2,2,0
Bhola,86,3.7,15.2,1.1,0
Big jawed jumper,130,0.1,19.4,5.8,0
Boal,116,7.6,15.4,2.7,0
Blue mussel,72,3.6,9.9,2,0
Chela,103,1.5,14.6,4.3,0
Chela dried,413,0.1,64.8,17,0
Chingai small dried,292,1.9,62.4,3.9,0
"Chingai goda, dried",287,4.6,60,3.2,0
Chital,108,3.1,18.6,2.3,0
Crab muscle,59,3.3,8.9,1.1,0
Crab small,169,9.1,11.2,9.8,0
Folui,109,3.7,19,1,0
Ghol,82,0,18.4,0.9,0
Goggler,93,1,18.7,1.6,0
"Hearing, indian",119,2.2,20.3,3.2,0
Hearing ox-eyed,106,0.8,20.7,2.2,0
Horse mackerel,99,0,21.2,1.6,0
Indian whiting,89,1.6,19.2,0.6,0
Jew fish (kora),83,0.2,18.8,0.8,0
Jew fish (pallikora),100,0,20,2.2,0
Kalabasu,76,2,14.7,1,0
Katla,111,2.9,19.5,2.4,0
Khorsula,117,1.5,16.3,5.1,0
Khoyra fresh,120,5.2,18,3,0
Khoyra dried,296,1.2,58.9,6.2,0
Koi,156,4.4,14.8,8.8,0
Koocha machli,92,2.4,18.7,0.8,0
Lata,97,3.4,19.4,0.6,0
Magur,86,4.2,15,1,0
Mahasole,126,1,25.2,2.3,0
"Mandeli, dried",259,0,52.5,5.4,0
Mrigal,98,3.2,19.5,0.8,0
Mushi dried,312,0,67,4.9,0
"Mussel, fresh water",81,2.1,14.5,1.6,0
"Mutijella, dried",288,3,63.6,2.4,0
Oil sardine,97,0.1,19.6,2,0
Pabda,114,4.6,19.2,2.1,0
Parsey dried,312,3,65,4.4,0
Puti,106,3.1,18.1,2.4,0
Ravas,112,3.3,22.2,1.1,0
Ray,97,2.1,20.9,0.5,0
Ribbon fish fresh,104,0.6,18.1,3.2,0
Ribbon fish dried,383,0,76.1,8.7,0
Sarputi,161,2.3,16.5,9.5,0
"Shrimp (small, dried)",349,0,68.1,8.5,0
Seer,126,0,22.5,4,0
Silver belly,91,0,19.2,1.6,0
Singhala,167,13.9,20.9,3.1,0
Singhi,124,6.9,22.8,0.6,0
Sole (malahar),120,0,19.5,4.7,0
Surmai fresh,92,0,19.9,1.4,0
Surmai dried,210,0,38.6,6.2,0
Tapra (dried) .,334,1,62.3,9,0
Tapsi (dried),343,0,58.5,12.1,0
Tartoor,79,1.2,18.2,0.2,0
Tengra fresh,144,2.3,19.2,6.4,0
Tengra dried,255,0,54.9,3.9,0
Tunny,113,0.9,23.8,1.6,0
White bait,81,2.5,14.5,1.4,0
Crab (Menippe mercenaria),81.98,0,10.23,1.41,0
"Crab, sea (Portunus sanguinolentus)",67.64,0,15.36,0.6,0
"Lobster, brown (Thenus orientalis)",69.79,0,15.96,0.56,0
"Lobster, king size (Thenus orientalis)",89.63,0,18.54,0.78,0
Mud crab (Scylla tranquebarica),45.41,0,10,0.55,0
Oyster (Crassostrea sp.),60.23,2.7,9.51,2.44,0
"Tiger prawns, brown (Solenocera crassicornis)",65.25,0,14.85,0.56,0
"Tiger Prawns, orange (Penaeus monodon)",64.53,0,14.25,0.74,0
"Clam, green shell (Perna viridis )",58.08,0,12.14,0.98,0
"Clam, white shell, ribbed (Meretrix meretrix)",59.75,0,11.82,1.34,0
Octopus (Octopus vulgaris),79.83,0,14.71,1.12,0
"Squid, black (Loligo sp.)",80.07,0,16.1,1.07,0
"Squid, hard shell (Sepia pharaonis)",76.48,0,16.82,0.93,0
"Squid, red (Loligo duvaucelii)",78.63,0,16.25,1.44,0
"Squid, white, small (Uroteuthis duvauceli )",84.37,0,17.41,1.15,0
Cat fish (Tandanus tandanus),123.8,0,15.86,6.24,0
Catla (Catla catla),94.17,0,17.94,2.15,0
Freshwater Eel (Anguilla anguilla),107.79,0,20.41,2.63,0
Gold fish (Carassius auratus),94.64,0,16.91,2.94,0
Pangas (Pangasianodon hypophthalmus),203.63,0,17.12,16.77,0
Rohu (Labeo rohita),102.29,0,19.71,2.39,0
Crab (Pachygrapsus sp.),78.15,0,13.23,0.89,0
"Prawns, big (Macrobrachium rosenbergii)",90.82,0,19.24,0.52,0
"Prawns, small (Macrobrachium sp.)",70.98,0,13.07,0.78,0
Tiger prawns (Macrobrachium sp.),67.88,0,14.24,0.66,0
Butter,729,0,0,81,0
Ghee (cow),900,0,0,100,0
Ghee (buffalo),900,0,0,100,0
Hydrogenated oil (fortified),900,0,0,100,0
"Cooking oil (groundnut, gingerly, palmolein, mustard, coconut, etc)",900,0,0,100,0
"Butter, salted",744,0.6,0.6,82.2,0
"Butter, unsalted",744,0.6,0.6,82.2,0
"Oil, olive",899,0,0,99.9,0
MARGARINE,714,0,0,78.57,0
"Ghee, butter",878,0,0.1,97.6,0
"Oil, coconut",899,0,0,99.9,0
"Oil, sunflower",899,0,0,99.9,0
"Oil, sesame",898,0,0.2,99.7,0
"Oil, mustard",884,0,0,100,0
"Biscuits, digestive, plain",463,65.6,6.2,21.3,3.8
"Bread, brown, average",207,42.1,7.9,2,5
"Bread, brown, toasted",266,54,10.1,2.6,6.4
Cream of tartar,239,0,0,0,0
HOT DOG BUNS,245,45.28,9.43,2.83,1.9
WHITE HAMBURGER BUNS,256,48.84,9.3,3.49,2.3
WHOLE WHEAT HAMBURGER BUNS,245,45.28,11.32,3.77,5.7
"Wafers, plain ice cream wafers, not filled",368,79.7,10.5,3,3.4
"Bread, white, average",236,48.7,8.7,2.1,2.9
"Apple juice, clear, ambient and chilled",37,9.7,0.1,0,0
Cocoa powder,312,11.5,18.5,21.7,0
"Coffee, powder, instant",75,4.5,14.6,0,0
Cola,41,10.9,0,0,0
"Drinking chocolate, powder",377,79.7,6.4,5.8,0
"Energy drink, carbonated",42,11.1,0,0,0
"Fruit cocktail, canned in syrup, whole contents",57,14.8,0.4,0,0
"Fruit juice drink/squash, diluted",7,1.8,0,0,0
"Fruit juice drink/squash, undiluted",34,8.9,0.1,0,0
"Pineapple juice, unsweetened",41,10.5,0.3,0.1,0
"Tea, black, infusion, average",0,0,0.1,0,0
"Tea, green, infusion",0,0,0.1,0,0
"Jelly, made with water",61,15.1,1.2,0,0
Marmalade,261,69.5,0.1,0,0.5
JAM,200,50,0,0,0
STRAWBERRY JAM,225,60,0,0,0
"Sauces, Indian cook in, other",67,8.7,1.4,3.2,2.5
"Soy sauce, light and dark varieties",79,17.9,3,0,0
Tomato ketchup,115,28.6,1.6,0.1,0.9
Tomato puree,67,12.9,4.4,0.2,4.7
"Tomato sauce, homemade",89,8.6,2.2,5.5,0
"White sauce, savoury, made with whole milk, homemade",158,11.6,4.4,10.8,0.3
Worcestershire sauce,113,28.3,1.4,0.1,0
"Dips, sour-cream based, assorted flavours",360,4,2.9,37,0
"Dressing, thousand island",210,15.9,0.7,16.4,0.4
"Dressing, French",335,11.7,0.3,32.2,0.5
"Mint sauce, homemade",85,19.4,0.8,0.1,0
"Pizza base, raw",290,57.5,7.8,4.8,2.5
MUSTARD SAUCE,643,3.57,3.57,71.43,0
"DIJON MUSTARD, DIJON",100,0,0,0,0
"CAJUN SEASONING, CAJUN",0,0,0,0,0
CREAMED CORN,159,17.7,3.54,7.96,1.8
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,0
Instant coffee,23.16,3.65,0.64,0.75,0
Espreso coffee,51.54,6.62,1.75,2.14,0
Iced tea,10.34,2.7,0.03,0.01,0
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,0.61
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,0.06
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,0.17
Lemonade,20.8,5.48,0.03,0.01,0.02
Lem-o-gin,21.52,5.55,0.08,0.03,0.13
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,0.46
Coco pine cooler,32.75,5.72,0.56,1,0.26
Summer cooler,22.43,5.43,0.37,0.04,0.2
Hot cocoa,90.1,9.23,3.36,4.56,0
Cold coffee with ice cream,67.85,11.24,1.57,2.11,0.01
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,0.26
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,0.26
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,0
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,0
Egg nog,97.14,8.15,4.78,5.11,0.02
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,0
Lassi (salted),18.84,1.86,1.35,0.72,0.02
Cheese and chilli sandwich,218.11,27.4,6.8,9.78,2.08
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.88
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8,2.45
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,2.33
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,1.97
Chicken sandwich,253.27,25.38,13.12,11.75,1.64
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,4.03
Rainbow sandwich,272.75,34.26,7.75,12.54,2.1
Club sandwich,235.32,18.51,7.31,15.12,1.81
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.06
Pin wheel sandwich,311.52,14,8.77,24.93,0.93
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,3.66
Salami sandwich,255.59,21.54,8.7,15.51,1.97
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,1.77
Sweet open sandwich,244.25,39.24,4.99,8.15,2.36
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.28
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,1.78
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,2.89
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,2.12
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,1.64
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,2.45
Classic club sandwich,200.83,18.49,6.74,11.56,1.62
Sesame toast,495.19,11.15,1.9,49.38,1.32
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,0.62
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,0.7
Oatmeal Porridge,72.85,8.77,2.6,3.22,0.39
Cornflakes with milk,117.33,14.95,3.59,5.12,0.78
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,0.37
Wheat flakes,112.44,15.57,3.62,3.99,0.37
Murmura (Puffed rice),113.32,15.67,3.62,4.04,0.28
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,0.28
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.11
Fried Egg,223.67,0.31,11.59,19.62,0.29
Poached egg,123.87,0.37,11.98,8.19,0.3
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,0.24
Baked egg,218.85,15.42,11.88,12.65,1.03
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.12
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,0.75
Pancake,203.36,20.49,5.68,10.82,0.65
Keema pancake,176.27,9.56,9.01,11.25,0.84
Vegetable pancake,125.18,12.24,3.87,6.57,2.48
Jam and fruit pancake,162.02,20.73,3.79,7.01,1.21
Khoa and coconut pancake,271.98,27.32,6.98,15.29,1.65
Brown stock,21.32,0.25,1.95,1.38,0.09
Vegetable stock,17.6,0.96,0.3,1.38,0.38
Chicken stock,29.88,0.37,3.69,1.51,0.1
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.96
Lentil soup,31.17,3.94,9.65,11.68,2.57
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,1.57
Cream of tomato soup,97.81,3.93,4.61,13.12,1.38
Cream of green peas soup,127.84,6.75,7.13,14.78,2.95
Cream of spinach soup,100.54,3.45,5.21,13.31,1.74
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.14
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.34
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.47
Minestrone soup,42.66,3.71,9.3,11.09,1.92
Egg drop soup,26.64,1.1,12.93,13.52,0.81
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.57
French onion soup,55.61,4.28,11.41,14.39,1.01
Hot and sour soup,31.51,1.78,3.12,1.31,0.6
Talaumein soup,35.63,4.17,10.12,12.78,1.94
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,0.88
Cold summer garden soup,49.19,2.65,8.57,14.08,1.86
Chapati/Roti,202.31,35.65,5.88,3.56,6.31
Plain parantha/paratha,298.3,30.69,5.06,16.86,5.43
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,4.18
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,4.32
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,4.68
Dal parantha/paratha,268.24,30.03,6.78,13.05,6.46
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,4.49
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.8,5.61
Keema parantha/paratha,238.09,18.36,9.41,13.91,3.44
Paneer parantha/paratha,262.97,24.33,7.98,14.62,4
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,4.39
Poori,737.63,8.22,1.35,77.61,1.46
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,1.55
Methi poori,710.02,7.98,1.45,74.6,1.61
Dal stuffed poori,785.16,10.14,2.08,81.69,1.96
Potato stuffed poori (Aloo ki poori),776.74,9.4,1.52,81.35,1.64
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,5.44
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,1.25
Plain pulao,140.21,21.82,2.34,4.62,1.69
Mixed vegetable pulao,113.05,17.49,2.72,3.33,2.67
Mushroom pulao,124.29,19.02,2.52,4.03,1.88
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.78
Paneer pulao,581.91,8.76,1.98,59.81,0.62
Peanut pulao,193.28,21.18,5.32,9.51,2.9
Navratan pulao,261.71,36.98,6.2,9.45,3.82
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,3.15
Mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.42
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,3.31
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,21.62,4.26,7.88,2.52
Sweet rice (Meethe chawal),215.41,42.59,2.1,4.57,1.13
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,2.13
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,5.12
Spanish rice,164.24,31.1,4.19,2.23,2.78
Chinese fried rice,120.58,13.4,4.05,5.43,2.31
Macroni cheese pie,170.63,21.1,5.85,7.48,0.4
Vegetable chowmein,129.71,15.44,3.07,6.36,1.86
Chicken chowmein,151.33,13.3,6.33,8.23,1.64
Cheese noodle ring,133.67,13.96,6.22,6.12,1.27
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,0.59
Penne platter,177.4,20.87,5.04,8.71,1.09
Pasta hot pot,125.17,11.6,5.84,6.47,0.8
Chicken lasagne,187.49,13.9,10.45,10.36,0.11
Fettuccine with spinach sauce,129.21,12.19,3.1,7.83,0.77
Naan,286.45,51.75,8.05,4.99,1.91
Bhatura,793.2,10.73,1.63,82.56,0.38
Idli,137.54,28.18,4.64,0.33,2.31
Masala dosa,164.58,19.57,3.29,7.84,2.52
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.3,7.12,4.04
Onion tomato uttapam,462.02,11.32,1.91,45.3,1.26
Paneer kaathi roll,285.94,20.1,6.92,19.55,2.4
Makki ki roti,263.97,24.19,3.49,16.85,5.19
Washed moong dal (Dhuli moong ki dal),50,5.91,2.68,1.68,1.17
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,1.53
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.1,2.79,3.6,2.72
Dry washed urad,124.71,15.66,6.85,3.5,4.06
Mixed dal,61.93,5.79,2.51,3.1,1.62
Whole moong (Moong ki dal),53.7,5.22,2.25,2.56,2.02
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,1.98
Whole moth (Moth ki dal),55,5.74,2.01,2.62,1.85
Whole urad (Urad ki dal),53.8,5.05,2.21,2.62,2.32
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,3.38
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,7.99
Chickpeas curry (Safed channa curry),163.43,19.98,6.1,6.84,4.73
Lobia curry,148.99,17.88,6.06,5.62,4.57
Soyabean curry,163.28,6.76,10.43,10.19,7.34
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,5.83
Sambar,96.92,10.57,3.35,4.38,3.52
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.81
Khatta channa,202.57,21.14,6.3,10.56,5.26
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.35
Potato cauliflower (Aloo gobhi),106.18,5.99,1.9,8.13,3.02
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,2.02
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,3.99
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.1,3.81,4.43
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,2.93
Brinjal bhartha (Baingan ka bhartha),65.12,4.4,1.38,4.48,3.27
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,1.88
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,5.59
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,5.27
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,4.52
Raw turnip with coconut,132.15,5.78,1.8,11.47,2.79
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,4.31
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,4.15
Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,2.1
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.7,2.01
Stuffed brinjal (Bharwa baingan),93,3.96,1.53,7.73,4.09
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.2
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,3.61
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.3
Pea mushroom curry (Matar mushroom),93.3,7.41,3.87,5.16,3.86
Pea curry (Matar ki sabzi),102.99,9.2,4.51,5.11,4.44
Pea vadi curry,101.95,8.9,4.64,5.08,4.28
Paneer curry,176.52,8.4,7.8,12.38,1.4
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,3.14
Gravy for kofta,125.59,6.31,1.75,10.35,1.96
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,1.7
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.92
Paneer kofta curry,670.91,3.27,2.39,72.06,0.4
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,1.01
Raw banana kofta curry (Kela kofta curry),627.27,3.4,0.62,67.98,0.59
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,2.62,1.04,69.62,1
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.9
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.4,0.83
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,0.75
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,0.64
Baked vegetables,88.99,8.44,3.67,4.44,2.34
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,3.06
Baked vegetables with spinach,77.79,6.93,3.22,4.03,2.33
Baked potato with skin,135.77,11.11,3.43,8.5,1.2
Shepherd's pie (vegetarian),135.63,12.03,5.04,7.3,2.23
Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,2.34
Dum aloo,682.33,3.33,0.7,74.01,0.68
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,1.91
Methi chaman,475.62,2.78,1.54,50.91,0.53
Sarson ka saag,87.84,5.33,3,5.86,3.69
Jackfruit sabzi (Kathal ki sabzi),625.4,3.4,0.69,67.6,1.02
Avial,124.56,8.47,2.46,8.94,5.44
Al yakhani,147.54,4.65,2.86,13.14,1.27
Shahi paneer,156.5,6.64,5.06,12.34,1.4
Paneer in butter sauce,145.61,9.7,6.99,8.81,1.5
Methi malai paneer,194.98,8.15,7.34,14.76,1.47
Chilli paneer,777.51,3.31,2.1,84.01,0.5
Paneer makhana korma,775.82,4.63,3.24,82.76,0.21
Kadhai Paneer,107.99,7.34,4.33,6.81,2.07
Roghan josh,139.59,4.93,9.56,9.02,2.08
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,2.23
Pea keema curry (Matar keema ki sabzi),133,6.24,8.43,8.14,2.96
Keema kofta curry,154.45,5.64,9.77,10.39,1.51
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,0.62
Mutton yakhni,104.13,0.84,8.27,7.7,0.67
Chicken yakhni,99,0.78,10.66,6.1,0.62
Mutton do piaza,183.3,4.14,9.39,14.41,1.93
Mutton chops,663.64,1.48,4.03,71.31,0.17
Shammi kebab,685.69,3.54,4.52,72.61,1.05
Scotch egg,676.89,1.91,4.05,72.62,0.36
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.05
Chicken curry,129.22,3.38,11.79,7.57,1.41
Tandoori chicken,145.2,2.34,16.26,7.93,0.5
Butter chicken,137,3.74,10.92,8.7,1.32
Chicken kebab,729.41,1.11,3.71,78.89,0.21
Chilli chicken,198.83,2.86,9.57,16.56,0.99
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.13
Fish curry (Machli curry),111.13,3.77,8.76,6.69,1.89
Fried fish (Indian style) (Tali hui machli),658.54,5.4,4.35,68.88,0.61
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.29
Tomato fish,489.79,3.18,2.39,51.91,0.72
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,0.08
Fish tikka,117.33,3.91,16,4.15,1.18
Tandoori fish,95.98,2.37,11.19,4.64,0.58
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,1.65
Russian salad,114.83,6.5,4.26,7.84,2.57
Pasta salad,190.36,12.7,4.15,13.92,0.96
Deviled egg,98.56,2.23,4.97,7.72,1.15
Hawain salad,175.23,14.35,4.27,11.37,3.93
Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,2.96
Sprouted moong salad,37.81,5.48,2.29,0.74,0.95
Tossed salad,62.96,4.95,1.02,4.22,2.15
Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5,3.79
Potato salad (Aloo ka salaad),89.91,11.19,1.4,4.4,1.32
Waldroff salad,141.75,11.02,1.47,10.05,1.87
Coleslaw,76.71,5.59,1.24,5.32,2.34
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,1.58
Tomato onion raita (Tamatar aur pyaaz ka raita),59,7.08,3.74,1.84,0.97
Peanut raita (Mungfali ka raita),150.39,9.3,8.59,8.98,1.89
Sprouted moong raita,60.89,6.13,4.62,2.19,0.16
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,0.85
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,0.86
